,2023-11-19-19-36-56_mean,2023-11-19-20-01-09_mean,2023-11-19-20-25-18_mean,2023-11-19-20-49-35_mean,2023-11-19-21-13-50_mean,mean,geo_mean,2023-11-19-19-36-56_std,2023-11-19-20-01-09_std,2023-11-19-20-25-18_std,2023-11-19-20-49-35_std,2023-11-19-21-13-50_std,overall_std
thr create,3.903e-06,3.92e-06,3.815e-06,3.828e-06,4.005e-06,3.894199999999999e-06,3.8935945202779715e-06,9.009e-06,9.773e-06,5.748e-06,7.805e-06,1.0114e-05,8.63625074902298e-06
thr create Child,7.342e-06,7.251e-06,7.278e-06,7.208e-06,7.375e-06,7.2908e-06,7.290548909671619e-06,1.2277e-05,1.1101e-05,1.1011e-05,9.914e-06,1.2088e-05,1.1310227150680927e-05
big fork,0.00127145,0.001272451,0.001272599,0.001272448,0.001268598,0.0012715092,0.0012715082998105435,1.7932e-05,1.9394e-05,1.9812e-05,1.8566e-05,1.9947e-05,1.914564372905753e-05
big fork Child,0.001296946,0.001298236,0.0012985,0.001296445,0.001292514,0.0012965282,0.001296526416263626,1.8106e-05,1.9606e-05,1.9976e-05,1.8734e-05,2.0133e-05,1.932647662146414e-05
huge fork,0.002522285,0.002520247,0.002524405,0.002531383,0.00252171,0.002524006,0.0025240029550155285,2.9316e-05,2.8257e-05,3.9198e-05,3.7805e-05,3.8432e-05,3.4930232630201594e-05
huge fork Child,0.002548163,0.002546208,0.002550481,0.002555855,0.002546135,0.0025493684,0.0025493658442378936,2.9401e-05,2.836e-05,3.9297e-05,3.7891e-05,3.8531e-05,3.5023787493644946e-05
small write,1.287e-06,1.291e-06,1.274e-06,1.33e-06,1.28e-06,1.2924000000000001e-06,1.2922518588573733e-06,7.42e-07,4.7e-07,3.42e-07,1.0783e-05,7.1e-07,4.851095072249151e-06
small read,4.21e-07,4.15e-07,4.59e-07,4.34e-07,4.11e-07,4.280000000000001e-07,4.2765631151365255e-07,2.225e-06,1.367e-06,8.127e-06,8.118e-06,3.9e-08,5.2682233817483475e-06
small mmap,4.38e-07,4.43e-07,4.29e-07,4.44e-07,4.51e-07,4.41e-07,4.409394217023069e-07,1.532e-06,2.843e-06,3.8e-08,4.413e-06,5.461e-06,3.4562467215174325e-06
small munmap,1.078e-06,1.066e-06,1.073e-06,1.061e-06,1.08e-06,1.0716e-06,1.0715759683975711e-06,5.3e-07,6.1e-07,5.72e-07,6.43e-07,6.71e-07,6.072683097280805e-07
small page fault,7.22e-07,7.18e-07,7.12e-07,7.27e-07,7.16e-07,7.19e-07,7.189816621736486e-07,2.243e-06,4.1e-08,3.2e-08,2.69e-06,1.022e-06,1.6318295254100534e-06
mid write,4.839e-06,4.842e-06,4.8e-06,4.858e-06,4.823e-06,4.8324e-06,4.832360029057e-06,3.18e-07,2.97e-07,3.25e-07,3.54e-07,3.55e-07,3.305447019693403e-07
mid read,2e-06,1.96e-06,1.967e-06,1.998e-06,2.006e-06,1.9862e-06,1.986110319350511e-06,9.735e-06,4.069e-06,6.936e-06,8.337e-06,1.0345e-05,8.197068695576486e-06
mid mmap,4.6e-07,4.67e-07,4.6e-07,4.45e-07,4.6e-07,4.584e-07,4.583424451933995e-07,3.797e-06,5.692e-06,5.889e-06,1.036e-06,3.851e-06,4.413612828511355e-06
mid munmap,3.732e-06,3.714e-06,3.725e-06,3.709e-06,3.741e-06,3.7241999999999994e-06,3.7241817762625275e-06,1.85e-07,2.06e-07,2.22e-07,1.93e-07,1.96e-07,2.0080338642562778e-07
mid page fault,1.305e-06,1.302e-06,1.283e-06,1.315e-06,1.294e-06,1.2998e-06,1.2997554174978476e-06,4.56e-07,3.097e-06,8.91e-07,4.694e-06,1.584e-06,2.6508835508184813e-06
big write,0.000480239,0.00048055,0.000495154,0.000482519,0.000481248,0.00048394199999999996,0.00048390925827707814,2.734e-05,2.7676e-05,3.7294e-05,3.0354e-05,3.0119e-05,3.076621032561534e-05
big read,0.00033228,0.000333418,0.000332012,0.000333543,0.000333465,0.0003329436,0.0003329429495247391,2.779e-06,2.892e-06,2.664e-06,2.835e-06,2.926e-06,2.82071274680709e-06
big mmap,4.63e-07,4.63e-07,4.47e-07,4.77e-07,4.64e-07,4.6280000000000004e-07,4.627017829101564e-07,5.299e-06,5.261e-06,6.46e-07,6.131e-06,5.898e-06,5.070510881558189e-06
big munmap,0.000102368,0.000102295,0.000102085,0.000102348,0.000102456,0.00010231039999999999,0.00010231032471317107,2.198e-06,2.506e-06,2.809e-06,3.638e-06,3.364e-06,2.9513814053761335e-06
big page fault,1.941e-06,1.877e-06,1.909e-06,1.903e-06,1.894e-06,1.9047999999999997e-06,1.9046838521364706e-06,2.452e-06,1.567e-06,4.157e-06,1.409e-06,1.655e-06,2.4687141592335066e-06
huge write,0.010268173,0.010266132,0.010370016,0.010430169,0.010681497,0.0104031974,0.010402089428769723,0.00068025,0.000376965,0.000381914,0.000467553,0.00158565,0.0008346966763357813
huge read,0.016397323,0.016651577,0.016525999,0.016672982,0.016861834,0.016621943,0.016621217283090996,0.00011431,9.3501e-05,7.0917e-05,5.1876e-05,5.8511e-05,8.118262189286572e-05
huge mmap,4.46e-07,4.61e-07,4.8e-07,4.6e-07,4.57e-07,4.608e-07,4.606702968262958e-07,1.932e-06,4.783e-06,1.0642e-05,2.752e-06,7.012e-06,6.270622377404017e-06
huge munmap,0.001385935,0.001425207,0.00141267,0.001400481,0.001438904,0.0014126394,0.0014125184023856356,1.9811e-05,2.5691e-05,2.0764e-05,3.3458e-05,1.7158e-05,2.4072729907511527e-05
huge page fault,1.936e-06,1.883e-06,1.901e-06,1.541e-06,1.897e-06,1.8316000000000002e-06,1.825246615827651e-06,2.049e-06,1.674e-06,3.725e-06,3.414e-06,6.036e-06,3.713892674809007e-06
select,6.44e-07,6.73e-07,6.5e-07,6.89e-07,6.33e-07,6.578000000000001e-07,6.574874144575715e-07,6.911e-06,1.3873e-05,8.423e-06,9.567e-06,6.142e-06,9.385314400700702e-06
poll,4.97e-07,5.21e-07,4.97e-07,4.95e-07,5e-07,5.019999999999999e-07,5.019091820065162e-07,5.373e-06,7.326e-06,5.821e-06,4.91e-06,4.512e-06,5.672560092233488e-06
epoll,7.92e-07,7.78e-07,7.53e-07,7.64e-07,7.76e-07,7.726e-07,7.724866218500594e-07,9.33e-06,8.616e-06,6.576e-06,7.562e-06,8.189e-06,8.108904944565573e-06
select big,0.000106393,0.000104346,0.000106734,0.000112188,0.000110262,0.0001079846,0.00010794754839976469,0.000161901,0.000148442,0.000163325,0.000197625,0.000186153,0.00017241264270580623
poll big,0.000111809,0.000108356,0.00011392,0.000113946,0.000115731,0.0001127524,0.00011272382026314384,0.000177923,0.000155827,0.000199504,0.000201928,0.000201521,0.00018821589969978626
epoll big,0.000169892,0.000172956,0.000168331,0.000172808,0.00016895,0.00017058739999999999,0.0001705763986630556,0.000171637,0.000179463,0.000162062,0.000172275,0.000166381,0.00017046503029536587
