workload,thp,arch,stage,folder,path
graphbig_cc,always,ecpt,running,kernel_inst,
graphbig_cc,always,ecpt,loading,kernel_inst_loading_end,
graphbig_tc,never,radix,running,kernel_inst,
graphbig_tc,never,radix,loading,kernel_inst_loading_end,
graphbig_tc,never,ecpt,running,kernel_inst,
graphbig_tc,never,ecpt,loading,kernel_inst_loading_end,
graphbig_tc,always,radix,running,kernel_inst,
graphbig_tc,always,radix,loading,kernel_inst_loading_end,
graphbig_tc,always,ecpt,running,kernel_inst,
graphbig_tc,always,ecpt,loading,kernel_inst_loading_end,
graphbig_pagerank,never,radix,running,kernel_inst,
graphbig_pagerank,never,radix,loading,kernel_inst_loading_end,
graphbig_pagerank,never,ecpt,running,kernel_inst,
graphbig_pagerank,never,ecpt,loading,kernel_inst_loading_end,
graphbig_pagerank,always,radix,running,kernel_inst,
graphbig_pagerank,always,radix,loading,kernel_inst_loading_end,
graphbig_pagerank,always,ecpt,running,kernel_inst,
graphbig_pagerank,always,ecpt,loading,kernel_inst_loading_end,
sysbench,never,radix,running,kernel_inst,
sysbench,never,radix,loading,kernel_inst_loading_end,
sysbench,never,ecpt,running,kernel_inst,
sysbench,never,ecpt,loading,kernel_inst_loading_end,
sysbench,always,radix,running,kernel_inst,
sysbench,always,radix,loading,kernel_inst_loading_end,
sysbench,always,ecpt,running,kernel_inst,
sysbench,always,ecpt,loading,kernel_inst_loading_end,
gups,never,radix,running,kernel_inst,
gups,never,radix,loading,kernel_inst_loading_end,
gups,never,ecpt,running,kernel_inst,
gups,never,ecpt,loading,kernel_inst_loading_end,
gups,always,radix,running,kernel_inst,
gups,always,radix,loading,kernel_inst_loading_end,
gups,always,ecpt,running,kernel_inst,
gups,always,ecpt,loading,kernel_inst_loading_end,
redis,never,radix,running,kernel_inst,radix_never_jiyuan_redis_run_128G.bin.kern_inst.folded.high_level.csv
redis,never,radix,loading,kernel_inst_loading_end,radix_never_run_jiyuan_redis_run_128G.bin.kern_inst.folded.high_level.csv
redis,never,ecpt,running,kernel_inst,ecpt_never_jiyuan_redis_run_128G.bin.kern_inst.folded.high_level.csv
redis,never,ecpt,loading,kernel_inst_loading_end,ecpt_never_run_jiyuan_redis_run_128G_8KCWT.bin.kern_inst.folded.high_level.csv
redis,always,radix,running,kernel_inst,radix_always_run_jiyuan_redis_run_128G.bin.kern_inst.folded.reprocessed.high_level.csv
redis,always,radix,loading,kernel_inst_loading_end,radix_always_run_jiyuan_redis_run_128G.bin.kern_inst.folded.reprocessed.high_level.csv
redis,always,ecpt,running,kernel_inst,ecpt_always_run_jiyuan_redis_run_128G.bin.kern_inst.folded.reprocessed.high_level.csv
redis,always,ecpt,loading,kernel_inst_loading_end,ecpt_always_run_jiyuan_redis_run_128G.bin.kern_inst.folded.reprocessed.high_level.csv
memcached,never,radix,running,kernel_inst,radix_never_run_Memcached64Gpure_20insertion_never.bin.kern_inst.folded.high_level.csv
memcached,never,radix,loading,kernel_inst_loading_end,radix_never_run_Memcached64Gpure_20insertion_never_loading_end.bin.kern_inst.folded.high_level.csv
memcached,never,ecpt,running,kernel_inst,ecpt_never_run_Memcached64Gpure_20insertion_never.bin.kern_inst.folded.high_level.csv
memcached,never,ecpt,loading,kernel_inst_loading_end,ecpt_never_run_Memcached64Gpure_20insertion_never_loading_end.bin.kern_inst.folded.high_level.csv
memcached,always,radix,running,kernel_inst,ecpt_always_run_Memcached64Gpure_20insertion_enablelarge_running.bin.kern_inst.folded.reprocessed.high_level.csv
memcached,always,radix,loading,kernel_inst_loading_end,radix_always_run_Memcached64Gpure_20insertion_loading_end.bin.kern_inst.folded.reprocessed.high_level.csv
memcached,always,ecpt,running,kernel_inst,ecpt_always_run_Memcached64Gpure_20insertion_enablelarge_running.bin.kern_inst.folded.reprocessed.high_level.csv
memcached,always,ecpt,loading,kernel_inst_loading_end,ecpt_always_run_Memcached64Gpure_20insertion_loading_end.bin.kern_inst.folded.reprocessed.high_level.csv
postgres,never,radix,running,kernel_inst,radix_never_run_postgres64G_sequential_load.bin.kern_inst.folded.high_level.csv
postgres,never,radix,loading,kernel_inst_loading_end,radix_never_run_postgres64G_sequential_load_loading_end.bin.kern_inst.folded.high_level.csv
postgres,never,ecpt,running,kernel_inst,ecpt_never_run_postgres64G_sequential_load.bin.kern_inst.folded.high_level.csv
postgres,never,ecpt,loading,kernel_inst_loading_end,ecpt_never_run_postgres64G_sequential_load_loading_end.bin.kern_inst.folded.high_level.csv
postgres,always,radix,running,kernel_inst,radix_always_run_postgres64G_sequential_load_running.bin.kern_inst.folded.reprocessed.high_level.csv
postgres,always,radix,loading,kernel_inst_loading_end,radix_always_run_postgres64G_sequential_load_loading_end.bin.kern_inst.folded.reprocessed.high_level.csv
postgres,always,ecpt,running,kernel_inst,ecpt_always_run_postgres64G_sequential_load_running.bin.kern_inst.folded.reprocessed.high_level.csv
postgres,always,ecpt,loading,kernel_inst_loading_end,ecpt_always_run_postgres64G_sequential_load_loading_end.bin.kern_inst.folded.reprocessed.high_level.csv
