,2023-11-20-08-51-14_mean,2023-11-20-09-14-16_mean,2023-11-20-09-37-19_mean,2023-11-20-10-00-19_mean,2023-11-20-10-23-24_mean,mean,geo_mean,2023-11-20-08-51-14_std,2023-11-20-09-14-16_std,2023-11-20-09-37-19_std,2023-11-20-10-00-19_std,2023-11-20-10-23-24_std,overall_std
big page fault,2e-06,1.994e-06,2.003e-06,1.781e-06,2.012e-06,1.9579999999999997e-06,1.9558952814053984e-06,1.736e-06,6.6e-08,3.535e-06,1.859e-06,2.315e-06,2.2058732057849565e-06
huge write,0.011359616,0.011262107,0.011508206,0.011488893,0.011422466,0.0114082576,0.011407902406963204,0.000889211,0.001084684,0.001228132,0.001873704,0.001019164,0.001266886398246741
huge read,0.012117319,0.012391749,0.0121545,0.011953131,0.012613626,0.012246065,0.012243894399046315,7.0805e-05,5.8035e-05,7.6053e-05,5.2729e-05,0.000101151,7.372562688916249e-05
huge mmap,4.33e-07,4.47e-07,4.35e-07,4.39e-07,4.76e-07,4.4599999999999994e-07,4.457293477482969e-07,3.2e-08,4.844e-06,2.319e-06,2.536e-06,9.798e-06,5.123967622848529e-06
huge munmap,0.001286683,0.001279538,0.001308793,0.001280059,0.001294568,0.0012899282,0.0012898823909694402,2.0808e-05,2.0354e-05,2.3313e-05,1.9551e-05,2.1206e-05,2.1084070698041212e-05
huge page fault,2.004e-06,2.001e-06,2.003e-06,1.975e-06,2.015e-06,1.9996e-06,1.9995560438655137e-06,2.662e-06,5.98e-07,1.681e-06,2.293e-06,5.24e-06,2.9320660974814328e-06
select,5.99e-07,6.46e-07,6.34e-07,6.42e-07,6.57e-07,6.356e-07,6.352867525000738e-07,4.07e-06,8.606e-06,7.058e-06,7.441e-06,8.4e-06,7.298931168328689e-06
poll,4.9e-07,5.21e-07,5.04e-07,5.17e-07,5.14e-07,5.091999999999999e-07,5.090771456243164e-07,4.848e-06,7.753e-06,6.314e-06,6.682e-06,7.388e-06,6.673984971514395e-06
epoll,7.82e-07,7.57e-07,7.75e-07,7.85e-07,7.85e-07,7.768000000000001e-07,7.767275860424779e-07,9.083e-06,6.953e-06,8.303e-06,8.415e-06,8.845e-06,8.35261823621791e-06
select big,0.000111117,0.000109491,0.000108986,0.000108453,0.000110774,0.0001097642,0.00010975942172457898,0.000178657,0.000175161,0.000168575,0.000168729,0.000174464,0.00017316142349380246
poll big,0.000113881,0.000111353,0.000111904,0.000114816,0.000112474,0.00011288560000000002,0.00011287835496517147,0.000185096,0.000171486,0.000170103,0.000189482,0.000168334,0.00017711170029165212
epoll big,0.000174649,0.000174024,0.000177183,0.00018287,0.000177136,0.00017717240000000002,0.00017714517178788188,0.000190899,0.000198393,0.000202733,0.000222809,0.000201221,0.0002034878970656486
